iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
500,0.118987993684,0.118991812817,0.118993268004,1.0,1.0,1.0,298.339842226
600,0.113454357213,0.113457397157,0.113457509176,1.0,1.0,1.0,349.021326427
700,0.108117697983,0.108123012268,0.10812166483,1.0,1.0,1.0,399.740949934
800,0.105059416113,0.105065126957,0.105059789731,1.0,1.0,1.0,450.476057659
900,0.0994081528205,0.0994154993416,0.0994068378708,1.0,1.0,1.0,501.273733077
1000,0.0964890610541,0.0964953344136,0.0964858959865,1.0,1.0,1.0,552.016089152
1100,0.0949465434201,0.0949532925598,0.0949430964528,1.0,1.0,1.0,602.753902831
1200,0.093107987212,0.093114012242,0.0931011619865,1.0,1.0,1.0,653.640937148
1300,0.0919540440728,0.0919606811514,0.0919453837129,1.0,1.0,1.0,704.536507668
1400,0.0913862739874,0.0913922353463,0.0913775315626,1.0,1.0,1.0,755.406310163
1500,0.0912277905596,0.0912344523203,0.0912158704132,1.0,1.0,1.0,806.186976783
1600,0.0911684023331,0.0911760234831,0.0911556071391,1.0,1.0,1.0,856.839497962
1700,0.0911194525892,0.0911280631965,0.0911075682789,1.0,1.0,1.0,907.482588769
1800,0.0910408372614,0.0910504398614,0.0910314941427,1.0,1.0,1.0,958.072792558
1900,0.0909918690773,0.0910020031927,0.0909846662354,1.0,1.0,1.0,1008.64842908
2000,0.0909380578443,0.0909492090373,0.0909323504315,1.0,1.0,1.0,1059.15884576
2100,0.0908958790766,0.0909083628658,0.0908913866286,1.0,1.0,1.0,1109.82555526
2200,0.0908289873413,0.0908434143941,0.0908256467323,1.0,1.0,1.0,1160.51172097
2300,0.0907529010785,0.0907688755094,0.0907471156838,1.0,1.0,1.0,1211.15293449
2400,0.0906384407917,0.0906561891773,0.0906347547952,1.0,1.0,1.0,1261.80318536
2500,0.0905373204217,0.0905580683756,0.0905365795041,1.0,1.0,1.0,1312.47173318
2600,0.0904139232697,0.0904377837961,0.090415828861,1.0,1.0,1.0,1363.16021021
2700,0.0903415788513,0.0903671449468,0.0903447775227,1.0,1.0,1.0,1413.82864888
2800,0.09026525158,0.0902926944558,0.090268444236,1.0,1.0,1.0,1464.48977046
2900,0.0901740381163,0.0902028163188,0.090179342882,1.0,1.0,1.0,1515.03929014
3000,0.0901064373681,0.0901369351621,0.0901136404274,1.0,1.0,1.0,1565.60030507
3100,0.0900333497795,0.0900638729733,0.0900435068128,1.0,1.0,1.0,1616.21215027
3200,0.089909923786,0.0899426340822,0.0899186593199,1.0,1.0,1.0,1666.84145645
3300,0.0898219599228,0.089857261957,0.0898320788343,1.0,1.0,1.0,1717.4997727
3400,0.0897113409366,0.0897492203438,0.0897163476045,1.0,1.0,1.0,1768.27055716
3500,0.0895394702189,0.0895808560886,0.0895499345565,1.0,1.0,1.0,1819.01780165
3600,0.0894357188308,0.0894795447271,0.0894492748212,1.0,1.0,1.0,1869.71460561
3700,0.089343768702,0.0893884469868,0.0893559986456,1.0,1.0,1.0,1920.31068968
3800,0.089260221546,0.089306544575,0.0892735610174,1.0,1.0,1.0,1970.80123048
3900,0.08920392529,0.0892526246571,0.0892187990657,1.0,1.0,1.0,2021.35670762
4000,0.0890648972545,0.0891161946709,0.0890824585749,1.0,1.0,1.0,2072.00531465
4100,0.0889123674905,0.0889674014732,0.0889316889057,1.0,1.0,1.0,2122.6389733
4200,0.0888248957375,0.0888821984519,0.0888424219043,1.0,1.0,1.0,2173.29312322
4300,0.0886901781036,0.0887480503367,0.0887072330064,1.0,1.0,1.0,2223.86880222
4400,0.0885572480533,0.0886178681619,0.0885742338412,1.0,1.0,1.0,2274.32525001
4500,0.0883124165304,0.0883791507862,0.0883237640003,1.0,1.0,1.0,2324.78041791
4600,0.0881379196682,0.0882109225444,0.0881425614884,1.0,1.0,1.0,2375.29813776
4700,0.0879728992116,0.0880494984482,0.0879725022878,1.0,1.0,1.0,2425.7383145
4800,0.0877765251947,0.0878585332311,0.087781299627,1.0,1.0,1.0,2476.22870922
4900,0.0876266222183,0.0877142743049,0.0876334255762,1.0,1.0,1.0,2526.7780981
5000,0.0875244254338,0.0876162605354,0.0875343380017,1.0,1.0,1.0,2577.43227603
5100,0.0874185378508,0.0875101599055,0.0874327010697,1.0,1.0,1.0,2628.14303263
5200,0.0872828914428,0.0873786574701,0.087302399357,1.0,1.0,1.0,2678.77097853
5300,0.0871210066724,0.0872252137017,0.0871449127216,1.0,1.0,1.0,2729.820506
